  RL                    V(V+_VARIABLE,V-_VARIABLE) I(RL)                
  1.000000000000e+000  4.225592094052e-003  -4.225592094052e-003  
  1.258925411794e+000  5.319157708968e-003  -4.225157153184e-003  
  1.584893192461e+000  6.695555189786e-003  -4.224609722368e-003  
  1.995262314969e+000  8.427829892842e-003  -4.223920749475e-003  
  2.511886431510e+000  1.060783129726e-002  -4.223053703461e-003  
  3.162277660168e+000  1.335101821194e-002  -4.221962663211e-003  
  3.981071705535e+000  1.680247113607e-002  -4.220589926252e-003  
  5.011872336273e+000  2.114440286841e-002  -4.218863021587e-003  
  6.309573444802e+000  2.660552146881e-002  -4.216690985779e-003  
  7.943282347243e+000  3.347267195710e-002  -4.213959732744e-003  
  1.000000000000e+001  4.210526315789e-002  -4.210526315789e-003  
  1.258925411794e+001  5.295306981869e-002  -4.206211847231e-003  
  1.584893192461e+001  6.657807926531e-002  -4.200792809383e-003  
  1.995262314969e+001  8.368111128349e-002  -4.193990467103e-003  
  2.511886431510e+001  1.051339537730e-001  -4.185458086568e-003  
  3.162277660168e+001  1.320176829151e-001  -4.174765694295e-003  
  3.981071705535e+001  1.656676093562e-001  -4.161382200824e-003  
  5.011872336273e+001  2.077248125721e-001  -4.144654904091e-003  
  6.309573444802e+001  2.601933527334e-001  -4.123786734708e-003  
  7.943282347243e+001  3.255007919169e-001  -4.097812185033e-003  
  1.000000000000e+002  4.065573770492e-001  -4.065573770492e-003  
  1.258925411794e+002  5.068058808075e-001  -4.025702206497e-003  
  1.584893192461e+002  6.302494707334e-001  -3.976605324140e-003  
  1.995262314969e+002  7.814391143181e-001  -3.916473079533e-003  
  2.511886431510e+002  9.653954767639e-001  -3.843308617196e-003  
  3.162277660168e+002  1.187434513984e+000  -3.754997636484e-003  
  3.981071705535e+002  1.452863904620e+000  -3.649429128844e-003  
  5.011872336273e+002  1.766523661034e+000  -3.524678089362e-003  
  6.309573444802e+002  2.132164376136e+000  -3.379252804946e-003  
  7.943282347243e+002  2.551695214555e+000  -3.212393948757e-003  
  1.000000000000e+003  3.024390243902e+000  -3.024390243902e-003  
  1.258925411794e+003  3.546204602762e+000  -2.816850442083e-003  
  1.584893192461e+003  4.109396268361e+000  -2.592853756902e-003  
  1.995262314969e+003  4.702641572018e+000  -2.356903920220e-003  
  2.511886431510e+003  5.311748898233e+000  -2.114645324566e-003  
  3.162277660168e+003  5.920922884316e+000  -1.872360216465e-003  
  3.981071705535e+003  6.514361296797e+000  -1.636333575138e-003  
  5.011872336273e+003  7.077853369423e+000  -1.412217409889e-003  
  6.309573444802e+003  7.600047873931e+000  -1.204526413777e-003  
  7.943282347243e+003  8.073171822383e+000  -1.016352116098e-003  
  1.000000000000e+004  8.493150684932e+000  -8.493150684931e-004  
  1.258925411794e+004  8.859233538052e+000  -7.037139337291e-004  
  1.584893192461e+004  9.173310927301e+000  -5.787967902781e-004  
  1.995262314969e+004  9.439121403741e+000  -4.730767144213e-004  
  2.511886431510e+004  9.661498717798e+000  -3.846311917849e-004  
  3.162277660168e+004  9.845748786753e+000  -3.113499143598e-004  
  3.981071705535e+004  9.997188946411e+000  -2.511180326773e-004  
  5.011872336273e+004  1.012084318398e+001  -2.019373700071e-004  
  6.309573444802e+004  1.022126679370e+001  -1.619961615966e-004  
  7.943282347243e+004  1.030246760903e+001  -1.297003827719e-004  
  1.000000000000e+005  1.036789297659e+001  -1.036789297659e-004  
  1.258925411794e+005  1.042045737457e+001  -8.277263511363e-005  
  1.584893192461e+005  1.046259213070e+001  -6.601449347166e-005  
  1.995262314969e+005  1.049630456609e+001  -5.260613848787e-005  
  2.511886431510e+005  1.052323852829e+001  -4.189376715559e-005  
  3.162277660168e+005  1.054473164289e+001  -3.334536930677e-005  
  3.981071705535e+005  1.056186690017e+001  -2.653021015796e-005  
  5.011872336273e+005  1.057551765708e+001  -2.110093184246e-005  
  6.309573444802e+005  1.058638601089e+001  -1.677829112143e-005  
  7.943282347243e+005  1.059503498364e+001  -1.333835877975e-005  
  1.000000000000e+006  1.060191518468e+001  -1.060191518468e-005  
