RL	IL	"V(V+_VARIABLE,V-_V"	ARIABLE) I(RL)
1.00E+00	4.23E-03	4.23E-03	-4.23E-03
1.26E+00	4.23E-03	5.32E-03	-4.23E-03
1.58E+00	4.22E-03	6.70E-03	-4.22E-03
2.00E+00	4.22E-03	8.43E-03	-4.22E-03
2.51E+00	4.22E-03	1.06E-02	-4.22E-03
3.16E+00	4.22E-03	1.34E-02	-4.22E-03
3.98E+00	4.22E-03	1.68E-02	-4.22E-03
5.01E+00	4.22E-03	2.11E-02	-4.22E-03
6.31E+00	4.22E-03	2.66E-02	-4.22E-03
7.94E+00	4.21E-03	3.35E-02	-4.21E-03
1.00E+01	4.21E-03	4.21E-02	-4.21E-03
1.26E+01	4.21E-03	5.30E-02	-4.21E-03
1.58E+01	4.20E-03	6.66E-02	-4.20E-03
2.00E+01	4.19E-03	8.37E-02	-4.19E-03
2.51E+01	4.19E-03	1.05E-01	-4.19E-03
3.16E+01	4.17E-03	1.32E-01	-4.17E-03
3.98E+01	4.16E-03	1.66E-01	-4.16E-03
5.01E+01	4.14E-03	2.08E-01	-4.14E-03
6.31E+01	4.12E-03	2.60E-01	-4.12E-03
7.94E+01	4.10E-03	3.26E-01	-4.10E-03
1.00E+02	4.07E-03	4.07E-01	-4.07E-03
1.26E+02	4.03E-03	5.07E-01	-4.03E-03
1.58E+02	3.98E-03	6.30E-01	-3.98E-03
2.00E+02	3.92E-03	7.81E-01	-3.92E-03
2.51E+02	3.84E-03	9.65E-01	-3.84E-03
3.16E+02	3.75E-03	1.19E+00	-3.75E-03
3.98E+02	3.65E-03	1.45E+00	-3.65E-03
5.01E+02	3.52E-03	1.77E+00	-3.52E-03
6.31E+02	3.38E-03	2.13E+00	-3.38E-03
7.94E+02	3.21E-03	2.55E+00	-3.21E-03
1.00E+03	3.02E-03	3.02E+00	-3.02E-03
1.26E+03	2.82E-03	3.55E+00	-2.82E-03
1.58E+03	2.59E-03	4.11E+00	-2.59E-03
2.00E+03	2.36E-03	4.70E+00	-2.36E-03
2.51E+03	2.11E-03	5.31E+00	-2.11E-03
3.16E+03	1.87E-03	5.92E+00	-1.87E-03
3.98E+03	1.64E-03	6.51E+00	-1.64E-03
5.01E+03	1.41E-03	7.08E+00	-1.41E-03
6.31E+03	1.20E-03	7.60E+00	-1.20E-03
7.94E+03	1.02E-03	8.07E+00	-1.02E-03
1.00E+04	8.49E-04	8.49E+00	-8.49E-04
1.26E+04	7.04E-04	8.86E+00	-7.04E-04
1.58E+04	5.79E-04	9.17E+00	-5.79E-04
2.00E+04	4.73E-04	9.44E+00	-4.73E-04
2.51E+04	3.85E-04	9.66E+00	-3.85E-04
3.16E+04	3.11E-04	9.85E+00	-3.11E-04
3.98E+04	2.51E-04	1.00E+01	-2.51E-04
5.01E+04	2.02E-04	1.01E+01	-2.02E-04
6.31E+04	1.62E-04	1.02E+01	-1.62E-04
7.94E+04	1.30E-04	1.03E+01	-1.30E-04
1.00E+05	1.04E-04	1.04E+01	-1.04E-04
1.26E+05	8.28E-05	1.04E+01	-8.28E-05
1.58E+05	6.60E-05	1.05E+01	-6.60E-05
2.00E+05	5.26E-05	1.05E+01	-5.26E-05
2.51E+05	4.19E-05	1.05E+01	-4.19E-05
3.16E+05	3.33E-05	1.05E+01	-3.33E-05
3.98E+05	2.65E-05	1.06E+01	-2.65E-05
5.01E+05	2.11E-05	1.06E+01	-2.11E-05
6.31E+05	1.68E-05	1.06E+01	-1.68E-05
7.94E+05	1.33E-05	1.06E+01	-1.33E-05
1.00E+06	1.06E-05	1.06E+01	-1.06E-05
